city,city_cost_index,num_days,budget_tier,group_size,season,avg_place_rating,num_places,pct_history,pct_culture,pct_nature,pct_food,pct_nightlife,pct_shopping,total_cost_inr
Amritsar,0.8,1,medium,2,off_peak,3.23,2,0.055,0.229,0.14,0.386,0.139,0.051,2989.87
Udaipur,1.0,9,high,3,shoulder,3.56,27,0.429,0.112,0.138,0.196,0.024,0.102,107273.82
Bengaluru,1.2,9,low,1,peak,4.06,18,0.153,0.414,0.132,0.159,0.003,0.139,15924.38
Amritsar,0.8,6,high,3,off_peak,4.94,18,0.413,0.174,0.035,0.0,0.171,0.207,70748.18
Kochi,0.95,4,medium,4,peak,4.91,8,0.274,0.077,0.041,0.125,0.31,0.173,47076.52
Jaipur,0.8,6,medium,1,off_peak,3.2,18,0.712,0.115,0.083,0.012,0.038,0.041,6876.8
Paris,3.2,9,medium,3,peak,4.49,27,0.491,0.094,0.066,0.207,0.115,0.028,204527.33
Jaipur,0.8,6,medium,3,shoulder,4.79,12,0.441,0.056,0.197,0.188,0.082,0.037,29663.17
Shimla,0.95,5,low,2,off_peak,4.16,15,0.204,0.056,0.249,0.006,0.187,0.297,10920.58
Paris,3.2,3,medium,2,off_peak,3.43,6,0.128,0.303,0.1,0.384,0.016,0.069,39202.44
Mumbai,1.4,3,high,3,shoulder,3.34,6,0.237,0.089,0.296,0.098,0.135,0.145,30649.41
Rishikesh,0.75,7,low,5,shoulder,4.28,14,0.217,0.042,0.016,0.05,0.537,0.139,34642.29
Rishikesh,0.75,4,medium,3,off_peak,4.48,8,0.051,0.424,0.112,0.176,0.2,0.036,16862.88
Barcelona,2.5,7,high,1,shoulder,3.67,21,0.089,0.337,0.008,0.324,0.056,0.186,79926.27
Bengaluru,1.2,3,low,5,off_peak,3.66,9,0.038,0.099,0.046,0.418,0.201,0.197,23492.1
Rishikesh,0.75,7,high,2,peak,3.63,21,0.26,0.187,0.065,0.104,0.147,0.236,63271.09
Bali,1.5,7,high,6,off_peak,4.94,14,0.597,0.13,0.13,0.013,0.068,0.061,152377.42
Bangkok,1.6,6,medium,6,shoulder,4.12,12,0.055,0.151,0.276,0.3,0.038,0.18,108995.69
Varanasi,0.7,7,high,1,shoulder,4.83,14,0.341,0.216,0.09,0.292,0.041,0.021,15518.09
Tokyo,3.0,3,medium,6,off_peak,3.92,6,0.081,0.289,0.35,0.1,0.165,0.015,69568.81
Bangkok,1.6,9,medium,1,shoulder,3.76,18,0.246,0.155,0.128,0.127,0.037,0.307,37084.26
Jaipur,0.8,10,medium,1,peak,4.86,20,0.075,0.274,0.056,0.328,0.14,0.128,22193.19
Rome,2.7,1,high,2,off_peak,4.9,3,0.053,0.262,0.015,0.246,0.086,0.339,28527.03
Bali,1.5,8,high,1,peak,4.58,24,0.056,0.126,0.361,0.143,0.019,0.295,65710.76
Barcelona,2.5,7,high,4,peak,4.52,21,0.01,0.064,0.073,0.342,0.484,0.027,551392.04
Tokyo,3.0,5,medium,5,off_peak,4.05,15,0.394,0.156,0.119,0.086,0.021,0.225,125672.89
Delhi,1.1,4,low,6,shoulder,4.03,12,0.005,0.353,0.111,0.45,0.079,0.001,37482.29
Istanbul,1.8,8,medium,6,off_peak,4.55,16,0.026,0.113,0.213,0.203,0.34,0.105,198574.59
Bengaluru,1.2,1,low,6,off_peak,4.85,2,0.342,0.162,0.281,0.02,0.171,0.024,5967.33
Agra,0.75,9,low,6,off_peak,4.64,27,0.321,0.151,0.174,0.074,0.242,0.038,45176.24
Kochi,0.95,9,low,1,shoulder,3.49,18,0.127,0.082,0.072,0.237,0.044,0.438,14349.72
Varanasi,0.7,1,low,5,shoulder,4.65,3,0.009,0.103,0.561,0.146,0.029,0.152,4141.43
Bali,1.5,2,high,3,off_peak,4.2,4,0.24,0.041,0.327,0.184,0.01,0.198,28079.12
Manali,0.9,3,medium,2,off_peak,4.5,9,0.251,0.116,0.12,0.125,0.382,0.007,12922.39
Paris,3.2,2,medium,1,off_peak,3.97,6,0.21,0.226,0.161,0.327,0.047,0.03,13427.61
New York,3.6,6,medium,6,shoulder,4.11,18,0.034,0.302,0.162,0.28,0.198,0.023,224247.39
Rome,2.7,9,medium,6,off_peak,4.35,27,0.03,0.016,0.517,0.377,0.024,0.035,185708.32
Pune,1.0,7,high,1,off_peak,4.62,14,0.102,0.614,0.099,0.001,0.003,0.181,25862.39
Tokyo,3.0,8,medium,2,shoulder,4.89,16,0.156,0.28,0.257,0.155,0.043,0.11,111451.51
Goa,1.3,5,medium,2,shoulder,4.9,10,0.055,0.05,0.247,0.022,0.02,0.605,43535.61
Chennai,1.05,7,medium,1,shoulder,4.39,21,0.182,0.093,0.31,0.154,0.127,0.133,19838.44
Kochi,0.95,5,high,5,peak,3.71,10,0.172,0.327,0.075,0.141,0.248,0.036,118187.71
Paris,3.2,9,medium,3,shoulder,4.9,27,0.023,0.049,0.203,0.073,0.49,0.161,264284.71
Barcelona,2.5,7,medium,1,shoulder,4.2,14,0.006,0.003,0.272,0.052,0.044,0.623,61404.3
Kochi,0.95,6,low,2,shoulder,3.72,18,0.206,0.032,0.362,0.008,0.275,0.117,13746.46
Istanbul,1.8,6,low,3,off_peak,4.94,18,0.094,0.02,0.409,0.159,0.086,0.233,41751.78
Paris,3.2,7,low,6,shoulder,4.53,14,0.15,0.031,0.28,0.106,0.313,0.119,177238.67
Kochi,0.95,4,high,6,off_peak,4.54,8,0.139,0.2,0.092,0.325,0.025,0.22,69381.5
Rishikesh,0.75,8,low,3,shoulder,3.74,24,0.408,0.201,0.048,0.031,0.038,0.274,21660.31
New York,3.6,9,medium,5,shoulder,4.33,27,0.254,0.112,0.145,0.277,0.209,0.004,343343.81
Manali,0.9,7,low,3,off_peak,4.16,21,0.001,0.63,0.069,0.113,0.12,0.067,20957.88
Jaipur,0.8,6,low,3,off_peak,3.34,18,0.174,0.155,0.131,0.101,0.114,0.325,16817.43
Varanasi,0.7,3,high,3,off_peak,3.6,9,0.128,0.145,0.157,0.044,0.209,0.317,20432.0
London,3.4,2,medium,5,shoulder,3.52,6,0.253,0.433,0.056,0.035,0.063,0.16,65029.83
Tokyo,3.0,4,high,2,shoulder,4.12,8,0.183,0.006,0.429,0.048,0.063,0.271,101048.67
Jaipur,0.8,6,low,1,shoulder,3.3,12,0.415,0.035,0.155,0.27,0.067,0.059,5752.62
Kochi,0.95,4,high,6,peak,3.82,12,0.074,0.039,0.304,0.495,0.021,0.068,102350.44
Barcelona,2.5,10,high,6,shoulder,4.02,20,0.23,0.096,0.455,0.024,0.068,0.126,422455.58
Agra,0.75,8,medium,2,shoulder,4.45,24,0.045,0.499,0.219,0.173,0.057,0.008,23474.68
Singapore,2.9,3,low,1,off_peak,3.79,9,0.006,0.003,0.507,0.313,0.02,0.151,10209.92
Rishikesh,0.75,2,low,2,peak,3.82,6,0.159,0.164,0.173,0.08,0.024,0.4,5258.81
Agra,0.75,2,medium,1,peak,3.25,6,0.039,0.049,0.175,0.046,0.097,0.593,4363.05
Kochi,0.95,8,medium,3,shoulder,3.85,24,0.106,0.102,0.058,0.474,0.127,0.132,57775.97
Mumbai,1.4,3,medium,5,shoulder,4.35,6,0.003,0.447,0.079,0.245,0.187,0.038,50755.82
Singapore,2.9,9,medium,5,shoulder,3.95,27,0.343,0.541,0.044,0.052,0.015,0.004,191640.39
Rishikesh,0.75,2,medium,1,peak,4.4,4,0.118,0.043,0.139,0.396,0.294,0.01,4492.53
Manali,0.9,10,medium,3,shoulder,3.52,30,0.238,0.092,0.242,0.018,0.403,0.007,43702.7
Goa,1.3,3,medium,1,shoulder,4.39,6,0.036,0.296,0.092,0.134,0.047,0.395,12688.8
Hyderabad,1.05,6,medium,4,peak,3.94,18,0.083,0.371,0.08,0.075,0.269,0.122,78156.4
Jaipur,0.8,8,high,6,shoulder,4.99,24,0.168,0.398,0.047,0.063,0.039,0.286,153343.26
Bangkok,1.6,9,medium,1,shoulder,4.53,18,0.075,0.113,0.054,0.436,0.087,0.236,38537.99
New York,3.6,6,low,4,off_peak,3.35,18,0.336,0.059,0.079,0.415,0.025,0.085,92529.78
Barcelona,2.5,6,medium,1,shoulder,4.26,18,0.486,0.212,0.051,0.031,0.083,0.138,31055.91
Paris,3.2,2,high,1,peak,3.57,6,0.072,0.099,0.273,0.441,0.003,0.113,30966.88
Tokyo,3.0,5,medium,3,off_peak,4.77,15,0.015,0.136,0.012,0.164,0.613,0.061,131821.48
Udaipur,1.0,8,high,5,peak,4.1,24,0.053,0.005,0.244,0.228,0.01,0.459,283216.2
Dubai,2.8,8,low,2,peak,3.63,16,0.161,0.03,0.062,0.273,0.226,0.248,107148.46
Bengaluru,1.2,10,low,6,shoulder,4.0,20,0.118,0.111,0.043,0.385,0.14,0.204,100946.15
Dubai,2.8,6,low,2,shoulder,3.94,18,0.367,0.001,0.129,0.15,0.279,0.073,56556.97
Tokyo,3.0,4,medium,6,peak,3.45,12,0.356,0.058,0.381,0.059,0.004,0.142,143437.52
New York,3.6,2,low,2,shoulder,4.61,4,0.152,0.018,0.241,0.481,0.023,0.087,21697.51
Agra,0.75,4,high,5,off_peak,4.41,8,0.071,0.001,0.136,0.301,0.129,0.362,61881.28
New York,3.6,4,low,6,off_peak,4.84,12,0.081,0.053,0.564,0.266,0.007,0.029,75767.73
Mumbai,1.4,1,high,5,shoulder,4.16,3,0.189,0.056,0.534,0.055,0.064,0.102,17322.16
Delhi,1.1,1,medium,1,peak,3.45,3,0.082,0.135,0.221,0.038,0.134,0.39,3534.06
Bangkok,1.6,9,low,1,peak,3.22,18,0.366,0.009,0.082,0.495,0.012,0.036,24948.42
Mumbai,1.4,9,low,2,shoulder,4.37,27,0.316,0.191,0.025,0.197,0.13,0.142,36657.95
Varanasi,0.7,8,high,6,peak,3.81,16,0.18,0.102,0.374,0.143,0.03,0.171,143879.61
Rome,2.7,4,low,6,peak,3.86,8,0.228,0.372,0.034,0.013,0.062,0.291,78338.88
Hyderabad,1.05,6,high,4,shoulder,4.87,18,0.078,0.528,0.035,0.077,0.225,0.057,100617.76
Kochi,0.95,2,medium,2,off_peak,4.42,4,0.339,0.159,0.07,0.207,0.139,0.086,8093.27
Bengaluru,1.2,9,medium,5,off_peak,4.04,18,0.218,0.146,0.05,0.022,0.101,0.464,105318.36
Jaipur,0.8,6,medium,6,off_peak,3.44,18,0.117,0.168,0.133,0.22,0.07,0.291,65063.61
Hyderabad,1.05,4,medium,2,shoulder,4.51,8,0.013,0.029,0.491,0.105,0.233,0.129,16460.51
Bali,1.5,5,medium,3,peak,4.22,15,0.239,0.128,0.236,0.194,0.091,0.112,65937.46
Agra,0.75,10,low,3,peak,4.37,30,0.06,0.195,0.133,0.291,0.022,0.299,51245.81
Bali,1.5,7,low,6,off_peak,4.9,14,0.049,0.155,0.009,0.34,0.035,0.413,113902.9
Rishikesh,0.75,2,low,3,off_peak,4.95,4,0.194,0.311,0.053,0.144,0.172,0.126,7052.03
Rome,2.7,9,medium,6,off_peak,3.92,27,0.295,0.034,0.08,0.195,0.196,0.2,278403.96
Manali,0.9,2,high,6,off_peak,4.09,6,0.453,0.017,0.144,0.052,0.054,0.281,34400.5
Goa,1.3,10,medium,5,shoulder,4.39,30,0.26,0.243,0.101,0.112,0.269,0.014,141219.91
Manali,0.9,3,low,5,peak,4.93,6,0.15,0.174,0.005,0.508,0.119,0.044,21089.98
Rishikesh,0.75,8,high,5,peak,3.4,16,0.001,0.088,0.498,0.214,0.043,0.155,95025.91
Mumbai,1.4,4,medium,3,shoulder,5.0,8,0.152,0.514,0.004,0.172,0.145,0.014,41703.71
Bengaluru,1.2,4,medium,1,shoulder,3.73,12,0.017,0.015,0.03,0.15,0.619,0.169,17166.75
Amritsar,0.8,7,high,2,off_peak,4.47,14,0.118,0.332,0.038,0.298,0.105,0.11,51190.74
Amritsar,0.8,10,low,5,shoulder,3.47,30,0.344,0.052,0.095,0.161,0.337,0.011,46916.28
Barcelona,2.5,10,medium,5,peak,4.74,30,0.035,0.058,0.18,0.189,0.239,0.299,501090.63
Varanasi,0.7,5,low,4,off_peak,3.93,15,0.016,0.302,0.251,0.376,0.025,0.03,13755.57
Singapore,2.9,2,high,1,peak,4.62,6,0.051,0.061,0.523,0.001,0.238,0.127,28451.31
Chennai,1.05,4,medium,5,off_peak,3.66,8,0.049,0.008,0.627,0.057,0.117,0.143,32146.93
Goa,1.3,8,low,3,shoulder,4.05,16,0.146,0.1,0.027,0.01,0.332,0.384,61149.25
Istanbul,1.8,4,medium,3,shoulder,3.96,12,0.108,0.257,0.161,0.041,0.002,0.431,62347.48
Bangkok,1.6,7,medium,1,shoulder,4.46,14,0.011,0.474,0.098,0.181,0.146,0.089,31063.64
Singapore,2.9,10,medium,4,peak,3.7,30,0.123,0.231,0.203,0.017,0.046,0.381,361008.42
Amsterdam,2.9,8,medium,2,peak,4.45,24,0.335,0.073,0.119,0.076,0.056,0.341,155735.63
Istanbul,1.8,5,high,1,off_peak,4.8,10,0.206,0.156,0.008,0.178,0.061,0.39,51589.73
Udaipur,1.0,8,medium,3,shoulder,4.61,24,0.193,0.234,0.184,0.042,0.054,0.292,46012.75
Singapore,2.9,5,low,3,shoulder,3.82,15,0.16,0.191,0.209,0.14,0.203,0.096,50360.1
London,3.4,6,high,1,peak,4.22,12,0.112,0.061,0.643,0.03,0.106,0.049,90642.22
Manali,0.9,5,low,5,off_peak,4.59,15,0.15,0.082,0.321,0.186,0.196,0.065,22489.38
Pune,1.0,8,low,3,peak,4.18,24,0.149,0.082,0.155,0.157,0.014,0.443,56584.43
Mumbai,1.4,6,low,4,peak,4.26,12,0.149,0.302,0.003,0.058,0.031,0.456,99783.17
Istanbul,1.8,3,medium,6,peak,4.41,9,0.037,0.01,0.022,0.227,0.547,0.156,121747.81
London,3.4,4,medium,6,off_peak,5.0,12,0.09,0.321,0.154,0.148,0.141,0.146,170208.66
Paris,3.2,4,high,1,off_peak,3.35,12,0.084,0.03,0.021,0.214,0.067,0.585,57003.77
Amsterdam,2.9,6,medium,3,peak,4.5,18,0.022,0.163,0.079,0.035,0.515,0.186,224269.95
Tokyo,3.0,9,medium,2,peak,4.85,18,0.081,0.005,0.631,0.014,0.239,0.031,125919.68
Pune,1.0,9,low,3,shoulder,4.93,27,0.178,0.293,0.093,0.238,0.02,0.178,38593.11
Udaipur,1.0,10,high,2,off_peak,4.28,20,0.038,0.136,0.417,0.126,0.019,0.264,57257.83
Udaipur,1.0,7,low,4,peak,3.85,14,0.179,0.188,0.418,0.121,0.082,0.012,33922.13
Bali,1.5,7,medium,3,shoulder,3.34,14,0.435,0.094,0.2,0.054,0.215,0.002,51415.22
Paris,3.2,2,medium,3,peak,4.48,4,0.019,0.07,0.499,0.109,0.287,0.017,50830.06
Rome,2.7,8,low,5,peak,4.84,24,0.192,0.048,0.257,0.094,0.017,0.392,217474.6
Varanasi,0.7,6,low,2,off_peak,3.53,18,0.295,0.237,0.087,0.066,0.126,0.189,10110.4
Amritsar,0.8,3,low,1,peak,3.33,6,0.24,0.135,0.136,0.13,0.152,0.207,4150.93
Udaipur,1.0,8,low,1,shoulder,4.39,16,0.353,0.222,0.043,0.138,0.239,0.005,12156.58
Bali,1.5,3,medium,2,shoulder,3.38,6,0.246,0.237,0.139,0.158,0.067,0.154,16909.91
Rome,2.7,9,low,4,shoulder,4.68,27,0.229,0.007,0.135,0.108,0.064,0.456,168867.32
Amritsar,0.8,9,low,6,shoulder,4.99,27,0.231,0.175,0.023,0.2,0.216,0.155,62533.72
Chennai,1.05,2,medium,2,off_peak,3.93,6,0.139,0.03,0.792,0.021,0.017,0.002,5577.14
Bangkok,1.6,9,low,1,off_peak,3.53,18,0.447,0.008,0.178,0.06,0.064,0.243,15978.87
Kochi,0.95,3,low,4,shoulder,3.7,6,0.164,0.042,0.343,0.162,0.115,0.173,12280.88
Pune,1.0,5,high,3,peak,4.08,15,0.131,0.022,0.046,0.005,0.705,0.091,96120.5
Barcelona,2.5,9,low,2,shoulder,4.89,18,0.122,0.188,0.556,0.07,0.06,0.004,43827.96
Bengaluru,1.2,7,medium,2,off_peak,4.24,21,0.073,0.268,0.208,0.116,0.116,0.22,37052.52
Rishikesh,0.75,10,high,3,peak,4.29,20,0.333,0.27,0.168,0.014,0.109,0.106,112784.53
Jaipur,0.8,8,low,6,off_peak,3.65,16,0.275,0.118,0.024,0.169,0.289,0.125,41125.24
Shimla,0.95,8,low,3,shoulder,4.45,16,0.062,0.042,0.106,0.29,0.063,0.437,42680.81
Shimla,0.95,3,medium,3,shoulder,3.63,6,0.044,0.031,0.015,0.021,0.886,0.004,24534.56
Amsterdam,2.9,1,medium,2,shoulder,4.44,2,0.286,0.193,0.25,0.158,0.091,0.021,11804.08
Bali,1.5,4,medium,5,peak,4.94,12,0.075,0.009,0.001,0.06,0.347,0.507,129379.08
Dubai,2.8,6,medium,2,peak,4.84,12,0.627,0.083,0.074,0.066,0.033,0.117,104735.86
Jaipur,0.8,9,low,4,off_peak,4.73,18,0.508,0.293,0.069,0.053,0.049,0.029,28526.57
Istanbul,1.8,9,medium,3,peak,3.66,18,0.284,0.128,0.058,0.025,0.011,0.494,199057.3
Bengaluru,1.2,6,medium,1,off_peak,3.31,12,0.577,0.026,0.037,0.0,0.301,0.059,12310.3
Bali,1.5,1,high,3,peak,3.56,3,0.218,0.35,0.093,0.072,0.161,0.105,23176.5
Bengaluru,1.2,3,high,2,shoulder,3.27,9,0.409,0.057,0.232,0.004,0.138,0.16,23674.91
Chennai,1.05,7,medium,3,shoulder,3.61,21,0.026,0.292,0.167,0.337,0.052,0.125,50893.6
Pune,1.0,4,high,3,shoulder,4.8,8,0.043,0.063,0.122,0.711,0.016,0.046,56551.05
Agra,0.75,3,medium,4,peak,3.37,9,0.417,0.038,0.016,0.09,0.386,0.053,23422.51
Amritsar,0.8,5,low,2,peak,3.71,15,0.087,0.328,0.046,0.386,0.056,0.097,12414.39
Amritsar,0.8,4,low,5,peak,4.34,12,0.09,0.001,0.122,0.342,0.159,0.286,33099.36
Delhi,1.1,5,low,2,off_peak,3.46,10,0.568,0.01,0.002,0.071,0.319,0.03,11933.77
Rome,2.7,8,low,6,off_peak,4.36,24,0.053,0.23,0.404,0.069,0.08,0.164,121235.15
Bengaluru,1.2,10,medium,6,shoulder,4.7,30,0.365,0.08,0.081,0.169,0.119,0.186,157680.23
Hyderabad,1.05,4,medium,1,peak,3.87,8,0.062,0.592,0.295,0.032,0.007,0.012,8358.41
Hyderabad,1.05,4,high,2,off_peak,4.51,8,0.437,0.03,0.03,0.247,0.024,0.232,36434.61
Agra,0.75,3,medium,5,peak,3.76,6,0.242,0.018,0.192,0.051,0.134,0.364,28680.46
Kochi,0.95,8,medium,6,shoulder,4.9,16,0.32,0.298,0.09,0.208,0.002,0.081,71403.46
Dubai,2.8,5,medium,2,shoulder,4.47,10,0.001,0.018,0.352,0.313,0.226,0.09,74082.23
Barcelona,2.5,4,medium,3,shoulder,4.07,12,0.122,0.022,0.15,0.151,0.065,0.49,74611.01
Kochi,0.95,2,medium,4,off_peak,4.64,6,0.118,0.345,0.188,0.05,0.237,0.062,14397.15
Istanbul,1.8,3,low,1,shoulder,4.66,9,0.271,0.044,0.286,0.083,0.152,0.164,8039.24
Goa,1.3,9,medium,5,shoulder,3.45,18,0.059,0.296,0.261,0.083,0.119,0.182,119922.47
Singapore,2.9,4,high,3,off_peak,3.87,12,0.312,0.032,0.19,0.002,0.11,0.354,143640.56
Kochi,0.95,5,low,1,peak,3.36,10,0.095,0.044,0.354,0.0,0.442,0.065,8060.4
Barcelona,2.5,9,low,3,shoulder,4.2,18,0.101,0.315,0.369,0.195,0.015,0.004,79493.81
Dubai,2.8,4,low,5,shoulder,3.22,12,0.016,0.072,0.674,0.067,0.16,0.01,55109.63
Shimla,0.95,4,low,2,shoulder,3.77,8,0.215,0.013,0.205,0.067,0.491,0.009,12071.47
Tokyo,3.0,10,high,6,peak,4.11,30,0.113,0.244,0.162,0.01,0.33,0.142,790371.58
Agra,0.75,3,medium,4,shoulder,3.58,9,0.032,0.046,0.028,0.301,0.107,0.486,32441.98
Goa,1.3,10,low,4,off_peak,3.2,20,0.464,0.002,0.114,0.14,0.232,0.048,49817.8
Rishikesh,0.75,5,medium,4,off_peak,4.12,15,0.182,0.124,0.123,0.012,0.559,0.001,28325.54
Varanasi,0.7,8,medium,1,peak,3.31,24,0.17,0.202,0.249,0.174,0.045,0.16,11306.69
Tokyo,3.0,8,low,3,off_peak,4.15,16,0.276,0.139,0.066,0.03,0.456,0.033,78344.68
Dubai,2.8,5,low,3,peak,3.81,10,0.348,0.065,0.023,0.136,0.006,0.421,77427.77
Goa,1.3,10,high,6,shoulder,3.75,20,0.43,0.063,0.07,0.061,0.08,0.297,279793.17
Jaipur,0.8,3,low,5,off_peak,3.72,6,0.144,0.027,0.151,0.419,0.237,0.022,12126.68
Kochi,0.95,2,medium,1,peak,4.97,4,0.161,0.382,0.155,0.158,0.05,0.094,5640.59
Varanasi,0.7,9,medium,4,off_peak,4.56,18,0.428,0.19,0.034,0.159,0.16,0.03,42580.41
Rome,2.7,10,low,2,shoulder,4.19,30,0.395,0.296,0.214,0.052,0.023,0.02,57801.58
Shimla,0.95,5,medium,4,shoulder,4.73,15,0.181,0.046,0.293,0.05,0.419,0.011,41396.65
Bali,1.5,6,low,4,peak,3.55,12,0.061,0.279,0.171,0.248,0.238,0.003,63033.47
New York,3.6,10,medium,5,off_peak,4.49,30,0.084,0.386,0.003,0.139,0.064,0.324,391267.84
Jaipur,0.8,6,medium,2,peak,4.09,18,0.302,0.179,0.012,0.17,0.112,0.225,28407.39
Barcelona,2.5,8,high,4,peak,4.42,24,0.007,0.104,0.369,0.079,0.143,0.299,486197.48
Bali,1.5,1,low,1,shoulder,4.6,2,0.466,0.062,0.232,0.005,0.134,0.1,1956.44
Barcelona,2.5,9,medium,1,shoulder,4.28,18,0.046,0.034,0.178,0.333,0.299,0.11,66331.12
Paris,3.2,5,low,3,shoulder,4.65,10,0.749,0.06,0.051,0.079,0.033,0.028,49536.98
Agra,0.75,7,medium,3,off_peak,3.24,14,0.04,0.225,0.086,0.442,0.178,0.028,30091.92
Bengaluru,1.2,8,low,4,off_peak,3.68,16,0.082,0.168,0.033,0.477,0.183,0.057,47882.67
Tokyo,3.0,7,low,2,peak,4.99,14,0.058,0.231,0.438,0.035,0.198,0.041,62378.45
Kochi,0.95,7,medium,5,shoulder,3.35,14,0.012,0.031,0.247,0.09,0.451,0.17,62564.32
Chennai,1.05,8,medium,3,off_peak,4.33,16,0.549,0.002,0.087,0.042,0.184,0.136,48311.92
Kochi,0.95,5,low,5,off_peak,4.58,10,0.471,0.113,0.021,0.147,0.2,0.048,27348.96
Varanasi,0.7,10,low,3,shoulder,3.67,30,0.141,0.093,0.01,0.473,0.07,0.213,36012.84
New York,3.6,5,high,5,off_peak,4.45,15,0.095,0.4,0.098,0.023,0.02,0.364,367777.08
Pune,1.0,8,medium,6,peak,4.61,16,0.298,0.133,0.061,0.065,0.395,0.047,158877.77
Bengaluru,1.2,7,medium,3,shoulder,4.55,21,0.003,0.167,0.568,0.043,0.153,0.065,55232.28
Dubai,2.8,6,medium,6,off_peak,4.49,12,0.014,0.059,0.225,0.295,0.249,0.158,206448.23
Rishikesh,0.75,5,low,6,peak,4.72,15,0.194,0.189,0.276,0.148,0.09,0.104,27506.23
Mumbai,1.4,1,medium,4,off_peak,3.33,3,0.307,0.086,0.158,0.004,0.208,0.237,11560.58
Bangkok,1.6,9,low,2,off_peak,4.13,27,0.056,0.083,0.141,0.31,0.277,0.132,43847.57
Bangkok,1.6,1,medium,6,off_peak,4.04,2,0.109,0.322,0.059,0.316,0.023,0.171,15668.48
Varanasi,0.7,9,medium,6,shoulder,4.02,18,0.09,0.157,0.025,0.161,0.301,0.266,109463.53
New York,3.6,2,medium,6,shoulder,4.58,6,0.134,0.107,0.059,0.024,0.313,0.363,127574.84
Varanasi,0.7,7,high,1,off_peak,3.99,21,0.056,0.118,0.366,0.296,0.152,0.012,20271.88
London,3.4,7,low,6,shoulder,4.34,14,0.155,0.027,0.213,0.431,0.125,0.049,190405.28
Paris,3.2,9,medium,4,shoulder,3.78,27,0.387,0.119,0.072,0.059,0.263,0.1,284987.8
Pune,1.0,2,low,6,shoulder,4.57,4,0.017,0.132,0.116,0.096,0.366,0.272,14302.54
Amsterdam,2.9,7,low,6,peak,3.38,14,0.064,0.274,0.061,0.327,0.127,0.148,215624.53
Jaipur,0.8,8,low,3,off_peak,4.7,16,0.535,0.165,0.154,0.066,0.026,0.055,14932.21
Kochi,0.95,10,high,4,peak,3.6,30,0.334,0.008,0.01,0.07,0.209,0.369,237956.71
Singapore,2.9,5,low,3,peak,4.21,15,0.382,0.043,0.304,0.126,0.044,0.101,83279.22
Bali,1.5,2,medium,5,off_peak,4.58,4,0.005,0.297,0.052,0.427,0.027,0.193,28192.07
New York,3.6,10,medium,1,shoulder,4.81,30,0.099,0.013,0.148,0.463,0.071,0.206,127328.04
Rome,2.7,4,medium,4,shoulder,4.62,8,0.01,0.322,0.121,0.22,0.102,0.225,119305.54
Hyderabad,1.05,2,low,2,shoulder,3.52,4,0.234,0.109,0.123,0.061,0.083,0.39,6980.66
Istanbul,1.8,7,low,6,shoulder,3.73,21,0.241,0.056,0.516,0.111,0.009,0.067,64498.12
Rome,2.7,6,low,1,shoulder,4.06,12,0.029,0.253,0.084,0.493,0.12,0.021,27778.17
Pune,1.0,9,medium,1,peak,3.52,18,0.098,0.291,0.103,0.44,0.03,0.038,21743.92
Amritsar,0.8,9,low,5,off_peak,3.31,18,0.009,0.099,0.182,0.043,0.066,0.601,50832.66
Shimla,0.95,6,low,1,peak,3.33,18,0.127,0.507,0.038,0.033,0.276,0.019,10276.87
Paris,3.2,5,low,2,shoulder,4.15,15,0.161,0.016,0.545,0.016,0.079,0.184,35734.16
Mumbai,1.4,1,low,1,peak,4.5,3,0.342,0.105,0.02,0.224,0.009,0.3,2775.21
Hyderabad,1.05,1,medium,3,off_peak,3.96,3,0.08,0.067,0.33,0.053,0.199,0.272,7629.05
Goa,1.3,5,medium,3,off_peak,3.57,15,0.377,0.142,0.022,0.032,0.203,0.224,47927.06
Barcelona,2.5,2,high,4,shoulder,4.21,4,0.105,0.176,0.187,0.311,0.015,0.207,85861.7
Bangkok,1.6,9,high,6,off_peak,4.73,18,0.115,0.016,0.138,0.14,0.429,0.163,377836.09
Singapore,2.9,10,low,2,peak,3.39,30,0.062,0.059,0.473,0.342,0.054,0.01,75750.52
London,3.4,1,high,6,shoulder,4.27,3,0.204,0.112,0.137,0.255,0.293,0.0,69524.98
Tokyo,3.0,7,medium,3,peak,3.53,14,0.442,0.126,0.241,0.036,0.056,0.098,152477.59
Mumbai,1.4,6,medium,6,shoulder,4.31,12,0.271,0.092,0.275,0.145,0.194,0.023,77619.66
Kochi,0.95,10,high,4,off_peak,3.58,30,0.084,0.319,0.314,0.126,0.067,0.091,92456.13
Hyderabad,1.05,10,low,6,shoulder,4.44,20,0.195,0.033,0.11,0.404,0.121,0.137,93833.94
Manali,0.9,9,high,6,shoulder,3.7,18,0.178,0.053,0.221,0.098,0.296,0.154,185963.46
Bangkok,1.6,2,medium,6,peak,5.0,4,0.143,0.419,0.074,0.194,0.104,0.065,42428.07
Delhi,1.1,9,low,1,off_peak,4.84,27,0.1,0.018,0.278,0.466,0.12,0.02,14368.86
Paris,3.2,7,low,1,off_peak,4.74,21,0.243,0.023,0.269,0.208,0.132,0.125,29823.69
Tokyo,3.0,7,medium,3,shoulder,4.58,21,0.047,0.237,0.002,0.45,0.16,0.104,178236.2
Amritsar,0.8,3,high,6,shoulder,4.84,9,0.126,0.064,0.166,0.167,0.415,0.062,44664.85
